"","item1","item2","correlation"
"1761","rue","assurance",0.265497122026796
"1762","welcome","assurance",0.265497122026796
"1763","right","assurance",0.265497122026796
"1764","appropriate","assurance",0.265497122026796
"1765","undue","assurance",0.265497122026796
"1766","limited","protection",0.265497122026796
"1767","assurance","protection",0.265497122026796
"1768","available","protection",0.265497122026796
"1769","issues","protection",0.265497122026796
"1770","available","compact",0.265497122026796
"1771","protection","available",0.265497122026796
"1772","compact","available",0.265497122026796
"1773","rue","available",0.265497122026796
"1774","awards","available",0.265497122026796
"1775","appropriate","available",0.265497122026796
"1776","accurate","available",0.265497122026796
"1777","protection","issues",0.265497122026796
"1778","progress","issues",0.265497122026796
"1779","risks","issues",0.265497122026796
"1780","rue","issues",0.265497122026796
"1781","welcome","issues",0.265497122026796
"1782","right","issues",0.265497122026796
"1783","appropriate","issues",0.265497122026796
"1784","undue","issues",0.265497122026796
"1785","limited","progress",0.265497122026796
"1786","assurance","progress",0.265497122026796
"1787","issues","progress",0.265497122026796
"1788","limited","risks",0.265497122026796
"1789","assurance","risks",0.265497122026796
"1790","issues","risks",0.265497122026796
"1791","limited","rue",0.265497122026796
"1792","assurance","rue",0.265497122026796
"1793","available","rue",0.265497122026796
"1794","issues","rue",0.265497122026796
"1795","limited","integrated",0.265497122026796
"1796","limited","welcome",0.265497122026796
"1797","assurance","welcome",0.265497122026796
"1798","issues","welcome",0.265497122026796
"1799","available","awards",0.265497122026796
"1800","limited","right",0.265497122026796
"1801","assurance","right",0.265497122026796
"1802","issues","right",0.265497122026796
"1803","limited","appropriate",0.265497122026796
"1804","assurance","appropriate",0.265497122026796
"1805","available","appropriate",0.265497122026796
"1806","issues","appropriate",0.265497122026796
"1807","limited","undue",0.265497122026796
"1808","assurance","undue",0.265497122026796
"1809","issues","undue",0.265497122026796
"1810","available","accurate",0.265497122026796
"1811","well","limited",0.24987096773334
"1812","sustainable","issues",0.24987096773334
"1813","issues","sustainable",0.24987096773334
"1814","limited","well",0.24987096773334
"1815","free","better",0.233333333333333
"1816","like","better",0.233333333333333
"1817","friendly","better",0.233333333333333
"1818","engaging","commitment",0.233333333333333
"1819","improve","commitment",0.233333333333333
"1820","better","free",0.233333333333333
"1821","engaging","free",0.233333333333333
"1822","improve","free",0.233333333333333
"1823","support","free",0.233333333333333
"1824","commitment","engaging",0.233333333333333
"1825","free","engaging",0.233333333333333
"1826","like","engaging",0.233333333333333
"1827","friendly","engaging",0.233333333333333
"1828","commitment","improve",0.233333333333333
"1829","free","improve",0.233333333333333
"1830","support","improve",0.233333333333333
"1831","friendly","improve",0.233333333333333
"1832","better","like",0.233333333333333
"1833","engaging","like",0.233333333333333
"1834","support","like",0.233333333333333
"1835","free","support",0.233333333333333
"1836","improve","support",0.233333333333333
"1837","like","support",0.233333333333333
"1838","friendly","support",0.233333333333333
"1839","better","friendly",0.233333333333333
"1840","engaging","friendly",0.233333333333333
"1841","improve","friendly",0.233333333333333
"1842","support","friendly",0.233333333333333
"1843","well","sustainability",0.225969226894434
"1844","sustainability","well",0.225969226894434
"1845","compact","sustainability",0.225374467927604
"1846","progress","sustainability",0.225374467927604
"1847","important","sustainability",0.225374467927604
"1848","welcome","sustainability",0.225374467927604
"1849","awards","sustainability",0.225374467927604
"1850","appropriate","sustainability",0.225374467927604
"1851","sustainability","compact",0.225374467927604
"1852","sustainability","progress",0.225374467927604
"1853","sustainability","important",0.225374467927604
"1854","sustainability","welcome",0.225374467927604
"1855","sustainability","awards",0.225374467927604
"1856","sustainability","appropriate",0.225374467927604
"1857","well","protection",0.168061391121839
"1858","well","rue",0.168061391121839
"1859","accurate","sustainable",0.168061391121839
"1860","protection","well",0.168061391121839
"1861","rue","well",0.168061391121839
"1862","accurate","well",0.168061391121839
"1863","sustainable","accurate",0.168061391121839
"1864","well","accurate",0.168061391121839
"1865","better","limited",0.16289594138375
"1866","commitment","limited",0.16289594138375
"1867","improve","limited",0.16289594138375
"1868","like","limited",0.16289594138375
"1869","support","limited",0.16289594138375
"1870","better","assurance",0.16289594138375
"1871","commitment","assurance",0.16289594138375
"1872","improve","assurance",0.16289594138375
"1873","support","assurance",0.16289594138375
"1874","better","available",0.16289594138375
"1875","engaging","available",0.16289594138375
"1876","support","available",0.16289594138375
"1877","better","issues",0.16289594138375
"1878","commitment","issues",0.16289594138375
"1879","improve","issues",0.16289594138375
"1880","limited","better",0.16289594138375
"1881","assurance","better",0.16289594138375
"1882","available","better",0.16289594138375
"1883","issues","better",0.16289594138375
"1884","limited","commitment",0.16289594138375
"1885","assurance","commitment",0.16289594138375
"1886","issues","commitment",0.16289594138375
"1887","available","engaging",0.16289594138375
"1888","limited","improve",0.16289594138375
"1889","assurance","improve",0.16289594138375
"1890","issues","improve",0.16289594138375
"1891","limited","like",0.16289594138375
"1892","limited","support",0.16289594138375
"1893","assurance","support",0.16289594138375
"1894","available","support",0.16289594138375
"1895","subjected","sustainability",0.155699788832305
"1896","reasonably","sustainability",0.155699788832305
"1897","solid","sustainability",0.155699788832305
"1898","threats","sustainability",0.155699788832305
"1899","great","sustainability",0.155699788832305
"1900","love","sustainability",0.155699788832305
"1901","patriot","sustainability",0.155699788832305
"1902","significant","sustainability",0.155699788832305
"1903","benefits","sustainability",0.155699788832305
"1904","capability","sustainability",0.155699788832305
"1905","continuity","sustainability",0.155699788832305
"1906","economical","sustainability",0.155699788832305
"1907","effective","sustainability",0.155699788832305
"1908","interests","sustainability",0.155699788832305
"1909","reputation","sustainability",0.155699788832305
"1910","successfully","sustainability",0.155699788832305
"1911","variety","sustainability",0.155699788832305
"1912","waste","sustainability",0.155699788832305
"1913","respect","sustainability",0.155699788832305
"1914","confidence","sustainability",0.155699788832305
"1915","covenant","sustainability",0.155699788832305
"1916","improvement","sustainability",0.155699788832305
"1917","transparent","sustainability",0.155699788832305
"1918","trust","sustainability",0.155699788832305
"1919","best","sustainability",0.155699788832305
"1920","gold","sustainability",0.155699788832305
"1921","guarantee","sustainability",0.155699788832305
"1922","majesty","sustainability",0.155699788832305
"1923","accessible","sustainability",0.155699788832305
"1924","concise","sustainability",0.155699788832305
"1925","facilitate","sustainability",0.155699788832305
"1926","greatest","sustainability",0.155699788832305
"1927","impaired","sustainability",0.155699788832305
"1928","success","sustainability",0.155699788832305
"1929","encourage","sustainability",0.155699788832305
"1930","fair","sustainability",0.155699788832305
"1931","leading","sustainability",0.155699788832305
"1932","encouraging","sustainability",0.155699788832305
"1933","guidance","sustainability",0.155699788832305
"1934","supporting","sustainability",0.155699788832305
"1935","vice","sustainability",0.155699788832305
"1936","competitive","sustainability",0.155699788832305
"1937","complaints","sustainability",0.155699788832305
"1938","losses","sustainability",0.155699788832305
"1939","awarded","sustainability",0.155699788832305
"1940","pure","sustainability",0.155699788832305
"1941","recommendations","sustainability",0.155699788832305
"1942","volatile","sustainability",0.155699788832305
"1943","valor","sustainability",0.155699788832305
"1944","attentive","sustainability",0.155699788832305
"1945","innovation","sustainability",0.155699788832305
"1946","reliable","sustainability",0.155699788832305
"1947","accomplish","sustainability",0.155699788832305
"1948","intelligent","sustainability",0.155699788832305
"1949","leverage","sustainability",0.155699788832305
"1950","positive","sustainability",0.155699788832305
"1951","work","sustainability",0.155699788832305
"1952","limitation","sustainability",0.155699788832305
"1953","sustainability","subjected",0.155699788832305
"1954","sustainability","reasonably",0.155699788832305
"1955","sustainability","solid",0.155699788832305
"1956","sustainability","threats",0.155699788832305
"1957","sustainability","great",0.155699788832305
"1958","sustainability","love",0.155699788832305
"1959","sustainability","patriot",0.155699788832305
"1960","sustainability","significant",0.155699788832305
"1961","sustainability","benefits",0.155699788832305
"1962","sustainability","capability",0.155699788832305
"1963","sustainability","continuity",0.155699788832305
"1964","sustainability","economical",0.155699788832305
"1965","sustainability","effective",0.155699788832305
"1966","sustainability","interests",0.155699788832305
"1967","sustainability","reputation",0.155699788832305
"1968","sustainability","successfully",0.155699788832305
"1969","sustainability","variety",0.155699788832305
"1970","sustainability","waste",0.155699788832305
"1971","sustainability","respect",0.155699788832305
"1972","sustainability","confidence",0.155699788832305
"1973","sustainability","covenant",0.155699788832305
"1974","sustainability","improvement",0.155699788832305
"1975","sustainability","transparent",0.155699788832305
"1976","sustainability","trust",0.155699788832305
"1977","sustainability","best",0.155699788832305
"1978","sustainability","gold",0.155699788832305
"1979","sustainability","guarantee",0.155699788832305
"1980","sustainability","majesty",0.155699788832305
"1981","sustainability","accessible",0.155699788832305
"1982","sustainability","concise",0.155699788832305
"1983","sustainability","facilitate",0.155699788832305
"1984","sustainability","greatest",0.155699788832305
"1985","sustainability","impaired",0.155699788832305
"1986","sustainability","success",0.155699788832305
"1987","sustainability","encourage",0.155699788832305
"1988","sustainability","fair",0.155699788832305
"1989","sustainability","leading",0.155699788832305
"1990","sustainability","encouraging",0.155699788832305
"1991","sustainability","guidance",0.155699788832305
"1992","sustainability","supporting",0.155699788832305
"1993","sustainability","vice",0.155699788832305
"1994","sustainability","competitive",0.155699788832305
"1995","sustainability","complaints",0.155699788832305
"1996","sustainability","losses",0.155699788832305
"1997","sustainability","awarded",0.155699788832305
"1998","sustainability","pure",0.155699788832305
"1999","sustainability","recommendations",0.155699788832305
"2000","sustainability","volatile",0.155699788832305
"2001","sustainability","valor",0.155699788832305
"2002","sustainability","attentive",0.155699788832305
"2003","sustainability","innovation",0.155699788832305
"2004","sustainability","reliable",0.155699788832305
"2005","sustainability","accomplish",0.155699788832305
"2006","sustainability","intelligent",0.155699788832305
"2007","sustainability","leverage",0.155699788832305
"2008","sustainability","positive",0.155699788832305
"2009","sustainability","work",0.155699788832305
"2010","sustainability","limitation",0.155699788832305
"2011","well","sustainable",0.0980392156862746
"2012","sustainable","well",0.0980392156862746
"2013","limited","sustainability",0.0942421293656315
"2014","assurance","sustainability",0.0942421293656315
"2015","available","sustainability",0.0942421293656315
"2016","sustainability","limited",0.0942421293656315
"2017","sustainability","assurance",0.0942421293656315
"2018","sustainability","available",0.0942421293656315
"2019","available","limited",0.0921052631578947
"2020","limited","available",0.0921052631578947
"2021","sustainable","better",0.0639137490706142
"2022","well","commitment",0.0639137490706142
"2023","well","free",0.0639137490706142
"2024","better","sustainable",0.0639137490706142
"2025","improve","sustainable",0.0639137490706142
"2026","like","sustainable",0.0639137490706142
"2027","support","sustainable",0.0639137490706142
"2028","sustainable","improve",0.0639137490706142
"2029","commitment","well",0.0639137490706142
"2030","free","well",0.0639137490706142
"2031","friendly","well",0.0639137490706142
"2032","sustainable","like",0.0639137490706142
"2033","sustainable","support",0.0639137490706142
"2034","well","friendly",0.0639137490706142
"2035","free","sustainability",0.0117851130197758
"2036","like","sustainability",0.0117851130197758
"2037","friendly","sustainability",0.0117851130197758
"2038","sustainability","free",0.0117851130197758
"2039","sustainability","like",0.0117851130197758
"2040","sustainability","friendly",0.0117851130197758
"2041","sustainable","assurance",-0.0113577712606064
"2042","sustainable","available",-0.0113577712606064
"2043","assurance","sustainable",-0.0113577712606064
"2044","available","sustainable",-0.0113577712606064
"2045","smart","subjected",-0.0454545454545454
"2046","reasonably","subjected",-0.0454545454545454
"2047","solid","subjected",-0.0454545454545454
"2048","threats","subjected",-0.0454545454545454
"2049","great","subjected",-0.0454545454545454
"2050","love","subjected",-0.0454545454545454
"2051","patriot","subjected",-0.0454545454545454
"2052","regal","subjected",-0.0454545454545454
"2053","top","subjected",-0.0454545454545454
"2054","loss","subjected",-0.0454545454545454
"2055","benefits","subjected",-0.0454545454545454
"2056","capability","subjected",-0.0454545454545454
"2057","continuity","subjected",-0.0454545454545454
"2058","economical","subjected",-0.0454545454545454
"2059","effective","subjected",-0.0454545454545454
"2060","interests","subjected",-0.0454545454545454
"2061","reputation","subjected",-0.0454545454545454
"2062","successfully","subjected",-0.0454545454545454
"2063","variety","subjected",-0.0454545454545454
"2064","waste","subjected",-0.0454545454545454
"2065","respect","subjected",-0.0454545454545454
"2066","confidence","subjected",-0.0454545454545454
"2067","covenant","subjected",-0.0454545454545454
"2068","improvement","subjected",-0.0454545454545454
"2069","transparent","subjected",-0.0454545454545454
"2070","trust","subjected",-0.0454545454545454
"2071","best","subjected",-0.0454545454545454
"2072","gold","subjected",-0.0454545454545454
"2073","guarantee","subjected",-0.0454545454545454
"2074","majesty","subjected",-0.0454545454545454
"2075","accessible","subjected",-0.0454545454545454
"2076","concise","subjected",-0.0454545454545454
"2077","facilitate","subjected",-0.0454545454545454
"2078","greatest","subjected",-0.0454545454545454
"2079","impaired","subjected",-0.0454545454545454
"2080","success","subjected",-0.0454545454545454
"2081","encourage","subjected",-0.0454545454545454
"2082","favor","subjected",-0.0454545454545454
"2083","damage","subjected",-0.0454545454545454
"2084","liable","subjected",-0.0454545454545454
"2085","supple","subjected",-0.0454545454545454
"2086","lead","subjected",-0.0454545454545454
"2087","fair","subjected",-0.0454545454545454
"2088","leading","subjected",-0.0454545454545454
"2089","encouraging","subjected",-0.0454545454545454
"2090","guidance","subjected",-0.0454545454545454
"2091","supporting","subjected",-0.0454545454545454
"2092","keen","subjected",-0.0454545454545454
"2093","vice","subjected",-0.0454545454545454
"2094","smarter","subjected",-0.0454545454545454
"2095","awarded","subjected",-0.0454545454545454
"2096","pure","subjected",-0.0454545454545454
"2097","recommendations","subjected",-0.0454545454545454
"2098","volatile","subjected",-0.0454545454545454
"2099","valor","subjected",-0.0454545454545454
"2100","attentive","subjected",-0.0454545454545454
"2101","innovation","subjected",-0.0454545454545454
"2102","reliable","subjected",-0.0454545454545454
"2103","accomplish","subjected",-0.0454545454545454
"2104","intelligent","subjected",-0.0454545454545454
"2105","leverage","subjected",-0.0454545454545454
"2106","positive","subjected",-0.0454545454545454
"2107","work","subjected",-0.0454545454545454
"2108","limitation","subjected",-0.0454545454545454
"2109","subjected","smart",-0.0454545454545454
"2110","reasonably","smart",-0.0454545454545454
"2111","solid","smart",-0.0454545454545454
"2112","threats","smart",-0.0454545454545454
"2113","great","smart",-0.0454545454545454
"2114","love","smart",-0.0454545454545454
"2115","patriot","smart",-0.0454545454545454
"2116","regal","smart",-0.0454545454545454
"2117","top","smart",-0.0454545454545454
"2118","loss","smart",-0.0454545454545454
"2119","significant","smart",-0.0454545454545454
"2120","benefits","smart",-0.0454545454545454
"2121","capability","smart",-0.0454545454545454
"2122","continuity","smart",-0.0454545454545454
"2123","economical","smart",-0.0454545454545454
"2124","effective","smart",-0.0454545454545454
"2125","interests","smart",-0.0454545454545454
"2126","reputation","smart",-0.0454545454545454
"2127","successfully","smart",-0.0454545454545454
"2128","variety","smart",-0.0454545454545454
"2129","waste","smart",-0.0454545454545454
"2130","respect","smart",-0.0454545454545454
"2131","confidence","smart",-0.0454545454545454
"2132","covenant","smart",-0.0454545454545454
"2133","improvement","smart",-0.0454545454545454
"2134","transparent","smart",-0.0454545454545454
"2135","trust","smart",-0.0454545454545454
"2136","best","smart",-0.0454545454545454
"2137","gold","smart",-0.0454545454545454
"2138","guarantee","smart",-0.0454545454545454
"2139","majesty","smart",-0.0454545454545454
"2140","accessible","smart",-0.0454545454545454
"2141","concise","smart",-0.0454545454545454
"2142","facilitate","smart",-0.0454545454545454
"2143","greatest","smart",-0.0454545454545454
"2144","impaired","smart",-0.0454545454545454
"2145","success","smart",-0.0454545454545454
"2146","encourage","smart",-0.0454545454545454
"2147","favor","smart",-0.0454545454545454
"2148","damage","smart",-0.0454545454545454
"2149","liable","smart",-0.0454545454545454
"2150","supple","smart",-0.0454545454545454
"2151","lead","smart",-0.0454545454545454
"2152","fair","smart",-0.0454545454545454
"2153","leading","smart",-0.0454545454545454
"2154","encouraging","smart",-0.0454545454545454
"2155","guidance","smart",-0.0454545454545454
"2156","supporting","smart",-0.0454545454545454
"2157","keen","smart",-0.0454545454545454
"2158","vice","smart",-0.0454545454545454
"2159","competitive","smart",-0.0454545454545454
"2160","complaints","smart",-0.0454545454545454
"2161","losses","smart",-0.0454545454545454
"2162","awarded","smart",-0.0454545454545454
"2163","pure","smart",-0.0454545454545454
"2164","recommendations","smart",-0.0454545454545454
"2165","volatile","smart",-0.0454545454545454
"2166","valor","smart",-0.0454545454545454
"2167","attentive","smart",-0.0454545454545454
"2168","innovation","smart",-0.0454545454545454
"2169","reliable","smart",-0.0454545454545454
"2170","accomplish","smart",-0.0454545454545454
"2171","intelligent","smart",-0.0454545454545454
"2172","leverage","smart",-0.0454545454545454
"2173","positive","smart",-0.0454545454545454
"2174","work","smart",-0.0454545454545454
"2175","limitation","smart",-0.0454545454545454
"2176","subjected","reasonably",-0.0454545454545454
"2177","smart","reasonably",-0.0454545454545454
"2178","great","reasonably",-0.0454545454545454
"2179","love","reasonably",-0.0454545454545454
"2180","patriot","reasonably",-0.0454545454545454
"2181","regal","reasonably",-0.0454545454545454
"2182","top","reasonably",-0.0454545454545454
"2183","loss","reasonably",-0.0454545454545454
"2184","significant","reasonably",-0.0454545454545454
"2185","benefits","reasonably",-0.0454545454545454
"2186","respect","reasonably",-0.0454545454545454
"2187","confidence","reasonably",-0.0454545454545454
"2188","covenant","reasonably",-0.0454545454545454
"2189","improvement","reasonably",-0.0454545454545454
"2190","transparent","reasonably",-0.0454545454545454
"2191","trust","reasonably",-0.0454545454545454
"2192","best","reasonably",-0.0454545454545454
"2193","gold","reasonably",-0.0454545454545454
"2194","guarantee","reasonably",-0.0454545454545454
"2195","majesty","reasonably",-0.0454545454545454
"2196","accessible","reasonably",-0.0454545454545454
"2197","concise","reasonably",-0.0454545454545454
"2198","facilitate","reasonably",-0.0454545454545454
"2199","greatest","reasonably",-0.0454545454545454
"2200","impaired","reasonably",-0.0454545454545454
"2201","success","reasonably",-0.0454545454545454
"2202","encourage","reasonably",-0.0454545454545454
"2203","favor","reasonably",-0.0454545454545454
"2204","damage","reasonably",-0.0454545454545454
"2205","liable","reasonably",-0.0454545454545454
"2206","supple","reasonably",-0.0454545454545454
"2207","lead","reasonably",-0.0454545454545454
"2208","fair","reasonably",-0.0454545454545454
"2209","leading","reasonably",-0.0454545454545454
"2210","encouraging","reasonably",-0.0454545454545454
"2211","guidance","reasonably",-0.0454545454545454
"2212","supporting","reasonably",-0.0454545454545454
"2213","keen","reasonably",-0.0454545454545454
"2214","vice","reasonably",-0.0454545454545454
"2215","competitive","reasonably",-0.0454545454545454
"2216","complaints","reasonably",-0.0454545454545454
"2217","losses","reasonably",-0.0454545454545454
"2218","smarter","reasonably",-0.0454545454545454
"2219","awarded","reasonably",-0.0454545454545454
"2220","pure","reasonably",-0.0454545454545454
"2221","recommendations","reasonably",-0.0454545454545454
"2222","volatile","reasonably",-0.0454545454545454
"2223","valor","reasonably",-0.0454545454545454
"2224","attentive","reasonably",-0.0454545454545454
"2225","innovation","reasonably",-0.0454545454545454
"2226","reliable","reasonably",-0.0454545454545454
"2227","accomplish","reasonably",-0.0454545454545454
"2228","intelligent","reasonably",-0.0454545454545454
"2229","leverage","reasonably",-0.0454545454545454
"2230","positive","reasonably",-0.0454545454545454
"2231","work","reasonably",-0.0454545454545454
"2232","limitation","reasonably",-0.0454545454545454
"2233","subjected","solid",-0.0454545454545454
"2234","smart","solid",-0.0454545454545454
"2235","great","solid",-0.0454545454545454
"2236","love","solid",-0.0454545454545454
"2237","patriot","solid",-0.0454545454545454
"2238","regal","solid",-0.0454545454545454
"2239","top","solid",-0.0454545454545454
"2240","loss","solid",-0.0454545454545454
"2241","significant","solid",-0.0454545454545454
"2242","benefits","solid",-0.0454545454545454
"2243","respect","solid",-0.0454545454545454
"2244","confidence","solid",-0.0454545454545454
"2245","covenant","solid",-0.0454545454545454
"2246","improvement","solid",-0.0454545454545454
"2247","transparent","solid",-0.0454545454545454
"2248","trust","solid",-0.0454545454545454
"2249","best","solid",-0.0454545454545454
"2250","gold","solid",-0.0454545454545454
"2251","guarantee","solid",-0.0454545454545454
"2252","majesty","solid",-0.0454545454545454
"2253","accessible","solid",-0.0454545454545454
"2254","concise","solid",-0.0454545454545454
"2255","facilitate","solid",-0.0454545454545454
"2256","greatest","solid",-0.0454545454545454
"2257","impaired","solid",-0.0454545454545454
"2258","success","solid",-0.0454545454545454
"2259","encourage","solid",-0.0454545454545454
"2260","favor","solid",-0.0454545454545454
"2261","damage","solid",-0.0454545454545454
"2262","liable","solid",-0.0454545454545454
"2263","supple","solid",-0.0454545454545454
"2264","lead","solid",-0.0454545454545454
"2265","fair","solid",-0.0454545454545454
"2266","leading","solid",-0.0454545454545454
"2267","encouraging","solid",-0.0454545454545454
"2268","guidance","solid",-0.0454545454545454
"2269","supporting","solid",-0.0454545454545454
"2270","keen","solid",-0.0454545454545454
"2271","vice","solid",-0.0454545454545454
"2272","competitive","solid",-0.0454545454545454
"2273","complaints","solid",-0.0454545454545454
"2274","losses","solid",-0.0454545454545454
"2275","smarter","solid",-0.0454545454545454
"2276","awarded","solid",-0.0454545454545454
"2277","pure","solid",-0.0454545454545454
"2278","recommendations","solid",-0.0454545454545454
"2279","volatile","solid",-0.0454545454545454
"2280","valor","solid",-0.0454545454545454
"2281","attentive","solid",-0.0454545454545454
"2282","innovation","solid",-0.0454545454545454
"2283","reliable","solid",-0.0454545454545454
"2284","accomplish","solid",-0.0454545454545454
"2285","intelligent","solid",-0.0454545454545454
"2286","leverage","solid",-0.0454545454545454
"2287","positive","solid",-0.0454545454545454
"2288","work","solid",-0.0454545454545454
"2289","limitation","solid",-0.0454545454545454
"2290","subjected","threats",-0.0454545454545454
"2291","smart","threats",-0.0454545454545454
"2292","great","threats",-0.0454545454545454
"2293","love","threats",-0.0454545454545454
"2294","patriot","threats",-0.0454545454545454
"2295","regal","threats",-0.0454545454545454
"2296","top","threats",-0.0454545454545454
"2297","loss","threats",-0.0454545454545454
"2298","significant","threats",-0.0454545454545454
"2299","benefits","threats",-0.0454545454545454
"2300","respect","threats",-0.0454545454545454
"2301","confidence","threats",-0.0454545454545454
"2302","covenant","threats",-0.0454545454545454
"2303","improvement","threats",-0.0454545454545454
"2304","transparent","threats",-0.0454545454545454
"2305","trust","threats",-0.0454545454545454
"2306","best","threats",-0.0454545454545454
"2307","gold","threats",-0.0454545454545454
"2308","guarantee","threats",-0.0454545454545454
"2309","majesty","threats",-0.0454545454545454
"2310","accessible","threats",-0.0454545454545454
"2311","concise","threats",-0.0454545454545454
"2312","facilitate","threats",-0.0454545454545454
"2313","greatest","threats",-0.0454545454545454
"2314","impaired","threats",-0.0454545454545454
"2315","success","threats",-0.0454545454545454
"2316","encourage","threats",-0.0454545454545454
"2317","favor","threats",-0.0454545454545454
"2318","damage","threats",-0.0454545454545454
"2319","liable","threats",-0.0454545454545454
"2320","supple","threats",-0.0454545454545454
"2321","lead","threats",-0.0454545454545454
"2322","fair","threats",-0.0454545454545454
"2323","leading","threats",-0.0454545454545454
"2324","encouraging","threats",-0.0454545454545454
"2325","guidance","threats",-0.0454545454545454
"2326","supporting","threats",-0.0454545454545454
"2327","keen","threats",-0.0454545454545454
"2328","vice","threats",-0.0454545454545454
"2329","competitive","threats",-0.0454545454545454
"2330","complaints","threats",-0.0454545454545454
"2331","losses","threats",-0.0454545454545454
"2332","smarter","threats",-0.0454545454545454
"2333","awarded","threats",-0.0454545454545454
"2334","pure","threats",-0.0454545454545454
"2335","recommendations","threats",-0.0454545454545454
"2336","volatile","threats",-0.0454545454545454
"2337","valor","threats",-0.0454545454545454
"2338","attentive","threats",-0.0454545454545454
"2339","innovation","threats",-0.0454545454545454
"2340","reliable","threats",-0.0454545454545454
"2341","accomplish","threats",-0.0454545454545454
"2342","intelligent","threats",-0.0454545454545454
"2343","leverage","threats",-0.0454545454545454
"2344","positive","threats",-0.0454545454545454
"2345","work","threats",-0.0454545454545454
"2346","limitation","threats",-0.0454545454545454
"2347","subjected","great",-0.0454545454545454
"2348","smart","great",-0.0454545454545454
"2349","reasonably","great",-0.0454545454545454
"2350","solid","great",-0.0454545454545454
"2351","threats","great",-0.0454545454545454
"2352","regal","great",-0.0454545454545454
"2353","top","great",-0.0454545454545454
"2354","loss","great",-0.0454545454545454
"2355","significant","great",-0.0454545454545454
"2356","benefits","great",-0.0454545454545454
"2357","capability","great",-0.0454545454545454
"2358","continuity","great",-0.0454545454545454
"2359","economical","great",-0.0454545454545454
"2360","effective","great",-0.0454545454545454
"2361","interests","great",-0.0454545454545454
"2362","reputation","great",-0.0454545454545454
"2363","successfully","great",-0.0454545454545454
"2364","variety","great",-0.0454545454545454
"2365","waste","great",-0.0454545454545454
"2366","respect","great",-0.0454545454545454
"2367","confidence","great",-0.0454545454545454
"2368","covenant","great",-0.0454545454545454
"2369","improvement","great",-0.0454545454545454
"2370","transparent","great",-0.0454545454545454
"2371","trust","great",-0.0454545454545454
"2372","favor","great",-0.0454545454545454
"2373","damage","great",-0.0454545454545454
"2374","liable","great",-0.0454545454545454
"2375","supple","great",-0.0454545454545454
"2376","lead","great",-0.0454545454545454
"2377","fair","great",-0.0454545454545454
"2378","leading","great",-0.0454545454545454
"2379","encouraging","great",-0.0454545454545454
"2380","guidance","great",-0.0454545454545454
"2381","supporting","great",-0.0454545454545454
"2382","keen","great",-0.0454545454545454
"2383","vice","great",-0.0454545454545454
"2384","competitive","great",-0.0454545454545454
"2385","complaints","great",-0.0454545454545454
"2386","losses","great",-0.0454545454545454
"2387","smarter","great",-0.0454545454545454
"2388","awarded","great",-0.0454545454545454
"2389","pure","great",-0.0454545454545454
"2390","recommendations","great",-0.0454545454545454
"2391","volatile","great",-0.0454545454545454
"2392","valor","great",-0.0454545454545454
"2393","attentive","great",-0.0454545454545454
"2394","innovation","great",-0.0454545454545454
"2395","reliable","great",-0.0454545454545454
"2396","accomplish","great",-0.0454545454545454
"2397","intelligent","great",-0.0454545454545454
"2398","leverage","great",-0.0454545454545454
"2399","positive","great",-0.0454545454545454
"2400","work","great",-0.0454545454545454
"2401","limitation","great",-0.0454545454545454
"2402","subjected","love",-0.0454545454545454
"2403","smart","love",-0.0454545454545454
"2404","reasonably","love",-0.0454545454545454
"2405","solid","love",-0.0454545454545454
"2406","threats","love",-0.0454545454545454
"2407","regal","love",-0.0454545454545454
"2408","top","love",-0.0454545454545454
"2409","loss","love",-0.0454545454545454
"2410","significant","love",-0.0454545454545454
"2411","benefits","love",-0.0454545454545454
"2412","capability","love",-0.0454545454545454
"2413","continuity","love",-0.0454545454545454
"2414","economical","love",-0.0454545454545454
"2415","effective","love",-0.0454545454545454
"2416","interests","love",-0.0454545454545454
"2417","reputation","love",-0.0454545454545454
"2418","successfully","love",-0.0454545454545454
"2419","variety","love",-0.0454545454545454
"2420","waste","love",-0.0454545454545454
"2421","respect","love",-0.0454545454545454
"2422","confidence","love",-0.0454545454545454
"2423","covenant","love",-0.0454545454545454
"2424","improvement","love",-0.0454545454545454
"2425","transparent","love",-0.0454545454545454
"2426","trust","love",-0.0454545454545454
"2427","favor","love",-0.0454545454545454
"2428","damage","love",-0.0454545454545454
"2429","liable","love",-0.0454545454545454
"2430","supple","love",-0.0454545454545454
"2431","lead","love",-0.0454545454545454
"2432","fair","love",-0.0454545454545454
"2433","leading","love",-0.0454545454545454
"2434","encouraging","love",-0.0454545454545454
"2435","guidance","love",-0.0454545454545454
"2436","supporting","love",-0.0454545454545454
"2437","keen","love",-0.0454545454545454
"2438","vice","love",-0.0454545454545454
"2439","competitive","love",-0.0454545454545454
"2440","complaints","love",-0.0454545454545454
"2441","losses","love",-0.0454545454545454
"2442","smarter","love",-0.0454545454545454
"2443","awarded","love",-0.0454545454545454
"2444","pure","love",-0.0454545454545454
"2445","recommendations","love",-0.0454545454545454
"2446","volatile","love",-0.0454545454545454
"2447","valor","love",-0.0454545454545454
"2448","attentive","love",-0.0454545454545454
"2449","innovation","love",-0.0454545454545454
"2450","reliable","love",-0.0454545454545454
"2451","accomplish","love",-0.0454545454545454
"2452","intelligent","love",-0.0454545454545454
